record_id,source,title,snippet,link,thumbnail,video_link,snippet_highlighted_words,displayed_link,title_snippet,likes,comments,author,link_to_author,post_id
1,TikTok · LoL Esports,Meet Faker: Insights from the Legends' Player,"Discover Faker's journey in gaming, favorite foods, and more! Join us for an exclusive Q&A that every League of Legends fan shouldn't miss! # ...",https://www.tiktok.com/@lolesports/video/7569741263415659831,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e28d48da5b701a88cb42948185482d529f.jpeg,,,900.2K+ views · 1 week ago,"Meet Faker: Insights from the Legends' Player Discover Faker's journey in gaming, favorite foods, and more! Join us for an exclusive Q&A that every League of Legends fan shouldn't miss! # ...",,,lolesports,https://www.tiktok.com/@lolesports,7569741263415659831
2,TikTok · LPL,Faker Aura Farming at Worlds Finals 2025,Faker Aura Farming at Worlds Finals 2025. Join us for Faker's stunning gameplay at Worlds Finals 2025! See the highlights of T1's epic battles.,https://www.tiktok.com/@lpl_official/video/7570663316725550350,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e23172044bfb683e570f5330c11719be62.jpeg,,,3.9M+ views · 6 days ago,Faker Aura Farming at Worlds Finals 2025 Faker Aura Farming at Worlds Finals 2025. Join us for Faker's stunning gameplay at Worlds Finals 2025! See the highlights of T1's epic battles.,,,lpl_official,https://www.tiktok.com/@lpl_official,7570663316725550350
3,TikTok · Broxah,Faker's Jungle Struggles in League of Legends,Discover why Faker would face criticism as a jungler in solo queue. Catch all the insights and gameplay moments here! #leagueoflegends #lolclips.,https://www.tiktok.com/@broxahlol/video/7571096286573645088,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e29ebf610fda165ea21a69898493b74b45.jpeg,,,318.9K+ views · 4 days ago,Faker's Jungle Struggles in League of Legends Discover why Faker would face criticism as a jungler in solo queue. Catch all the insights and gameplay moments here! #leagueoflegends #lolclips.,,,broxahlol,https://www.tiktok.com/@broxahlol,7571096286573645088
4,TikTok · Caedrel,Faker Dominates at Worlds 2025 with Game-Changing Play,Faker waits the Zhonya's on Sylas and Doran stunned the Ambessa. Absolute classic. 10-24Reply. 190. Riizaan. I was so confused when Faker and T1 ...,https://www.tiktok.com/@caedrel/video/7564784533053213974,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e22ff958e79d5b07d21704b4bf8ae5dc06.jpeg,,,144.9K+ views · 3 weeks ago,Faker Dominates at Worlds 2025 with Game-Changing Play Faker waits the Zhonya's on Sylas and Doran stunned the Ambessa. Absolute classic. 10-24Reply. 190. Riizaan. I was so confused when Faker and T1 ...,,,caedrel,https://www.tiktok.com/@caedrel,7564784533053213974
5,TikTok · Midbeast,Faker's POV Highlights at Worlds - League of Legends,Experience Faker's gameplay from his perspective at Worlds. Dive into epic League of Legends moments and skills! #leaguetiktok # ...,https://www.tiktok.com/@midbeast/video/7568516909650529544,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e25faca24a3b29c3a4196c6ac0d96f20a5.jpeg,,,2.8M+ views · 1 week ago,Faker's POV Highlights at Worlds - League of Legends Experience Faker's gameplay from his perspective at Worlds. Dive into epic League of Legends moments and skills! #leaguetiktok # ...,,,midbeast,https://www.tiktok.com/@midbeast,7568516909650529544
6,TikTok · LoL Esports,Faker: The Immortal Mid Lane Emperor in Esports,"Explore the legacy of Faker, the Immortal Demon King of LoL, and his impact on the esports world. Discover his journey to greatness! #Faker # ...",https://www.tiktok.com/@lolesports/video/7571098019370667278,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e2f366a8769759841c9984700ae96c6d5f.jpeg,,,375K+ views · 4 days ago,"Faker: The Immortal Mid Lane Emperor in Esports Explore the legacy of Faker, the Immortal Demon King of LoL, and his impact on the esports world. Discover his journey to greatness! #Faker # ...",,,lolesports,https://www.tiktok.com/@lolesports,7571098019370667278
7,TikTok · eefjeuh,Faker Brings the Summoners Cup to the Desk,Watch as Faker reveals the Summoners Cup and shares insights from Worlds 2025 in an exclusive interview! #faker #worlds #leagueoflegends # ...,https://www.tiktok.com/@eefjeuh/video/7571096988033256726,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e2b6075e4fa4f6de8f1a2feecc16b39900.jpeg,,,506.3K+ views · 4 days ago,Faker Brings the Summoners Cup to the Desk Watch as Faker reveals the Summoners Cup and shares insights from Worlds 2025 in an exclusive interview! #faker #worlds #leagueoflegends # ...,,,eefjeuh,https://www.tiktok.com/@eefjeuh,7571096988033256726
8,TikTok · max_pax,Faker's Best Plays in League of Legends,Discover the incredible moments and best plays of Faker in League of Legends. Watch and enjoy the top highlights that define his legacy! #FAKER ...,https://www.tiktok.com/@max_pax/video/7570865493721042177,https://serpapi.com/searches/691885e0bc3f0b0a8373f0a7/images/480797b8ab53a8a183f442be86dc24e2c69ef2376bdc454f2d5ca9c8738e1aeb.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcTKlDjo3lLd85X91wfXquuY7VNWw4xKAmQXyA,,1.9M+ views · 5 days ago,Faker's Best Plays in League of Legends Discover the incredible moments and best plays of Faker in League of Legends. Watch and enjoy the top highlights that define his legacy! #FAKER ...,,,max_pax,https://www.tiktok.com/@max_pax,7570865493721042177
9,TikTok · Jackson RC,T1 WINS WORLDS. FAKER GETS HIS SIXTH ...,Once Faker retires imma be interested to see that worlds on who will step up. Was rooting for T1 tho. Not for Faker but that team around him ...,https://www.tiktok.com/@jacksonroyc/video/7570732174475873567,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSOipbmtKRSjdaIyfCcMp6yUpz8MUJ6ZcmxWI_7A3KXSJ88KNiyub0iQ&s,,,30K+ views · 5 days ago,T1 WINS WORLDS. FAKER GETS HIS SIXTH ... Once Faker retires imma be interested to see that worlds on who will step up. Was rooting for T1 tho. Not for Faker but that team around him ...,,,jacksonroyc,https://www.tiktok.com/@jacksonroyc,7570732174475873567
10,TikTok · Xaryu,Faker: First Time Facing Ryu - Epic Outplay Moments,"1869 Likes, 32 Comments. TikTok video from Xaryu (@xaryu): “Watch as Faker faces Ryu for the first time, delivering unforgettable outplays!",https://www.tiktok.com/@xaryu/video/7524382112967937311,https://serpapi.com/searches/691885e1d02d2a05ad081917/images/b04dfab243bd576311af0bd56ee240153dcb4c1d0e0cbef61149165e09cb364b.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcRkQm1a1tWwoz7kPFeQElPxmdgN3fV7oB7gmA,,48.7K+ views · 4 months ago,"Faker: First Time Facing Ryu - Epic Outplay Moments 1869 Likes, 32 Comments. TikTok video from Xaryu (@xaryu): “Watch as Faker faces Ryu for the first time, delivering unforgettable outplays!",1869,32,xaryu,https://www.tiktok.com/@xaryu,7524382112967937311
